"BMD","BMDL"
4.5651,1.53331
8.56744,2.54142
8.93732,3.16255
9.1152,3.87209
10.5537,4.11746
10.6574,5.03527
10.8625,5.89381
11.4472,5.91685
11.8151,6.0725
11.973,6.16072
12.6016,7.10515
13.2487,7.37022
13.8471,7.57635
14.0306,7.82681
14.3415,7.88813
14.377,7.97476
14.8482,8.27709
15.3741,9.18298
15.9392,9.37278
16.4185,10.1001
16.6718,10.3609
16.9153,10.5045
17.1785,10.5841
17.2847,11.1211
17.4104,11.3693
18.3394,11.618
18.4263,11.7338
18.4737,11.9876
19.2797,12.3401
19.8123,12.346
19.983,12.4069
20.2538,12.6485
20.4013,12.7904
20.4738,13.4856
20.6831,13.6411
20.6939,14.0241
20.7054,14.6237
20.8354,14.6689
21.4083,14.7547
21.4125,14.88
21.4978,14.9794
21.648,15.1676
21.7865,15.1993
21.9528,15.2262
22.0102,15.6329
22.1341,15.6829
22.7111,15.7534
22.7403,15.8199
22.8122,15.9257
22.8297,16.0682
22.8631,16.1355
22.9371,16.3982
23.165,16.4616
23.2566,16.503
23.5144,16.5818
23.9359,16.6341
23.9545,16.7353
24.2355,16.7947
24.3193,16.8919
24.3853,17.1559
24.507,17.2619
24.5217,17.4843
24.5801,17.6033
24.675,17.6063
25.2605,17.6462
25.3001,17.6663
25.5668,17.7129
26.1475,17.7165
26.203,17.7474
26.2092,17.8792
26.2264,18.1015
26.3399,18.3046
26.5098,18.5967
26.5395,18.9094
26.6662,18.9708
26.9425,19.0585
27.0757,19.095
27.6025,19.1246
27.7396,19.1263
27.9006,19.2294
28.0092,19.3604
28.0919,19.547
28.1739,19.6423
28.5866,19.8348
28.6065,19.8923
28.6856,19.9811
28.7409,20.0636
28.7905,20.2594
28.8868,20.312
28.9467,20.3544
28.9494,20.4424
29.1456,20.5468
29.2295,20.7959
29.248,20.7984
29.5263,20.825
29.848,20.8761
29.9373,20.8912
30.123,20.9151
30.3943,20.933
30.4655,20.9412
30.4854,21.0654
30.7339,21.1167
31.0184,21.1516
31.0761,21.1777
31.1557,21.2582
31.2151,21.2722
31.5207,21.372
31.5536,21.5522
31.6643,21.6414
31.8084,21.8114
31.8777,21.832
31.9168,21.9125
32.1634,21.9559
32.1748,22.0462
32.2261,22.0797
32.5106,22.0993
32.564,22.1155
32.5663,22.1291
32.8067,22.1828
32.8888,22.3185
32.9917,22.3691
33.2895,22.4042
33.5156,22.4555
33.6234,22.5053
33.7901,22.5194
33.8512,22.603
33.931,22.6119
33.9452,22.6205
34.2699,22.6278
34.3056,22.7085
34.3188,22.7357
34.3514,22.8288
34.4265,22.9503
34.5904,23.0067
34.6944,23.0589
34.7126,23.0642
34.7834,23.3349
34.8421,23.3552
34.9592,23.3723
34.9702,23.5327
34.9919,23.6364
35.1513,23.6965
35.2929,23.7566
35.3643,23.7845
35.3695,23.8316
35.4808,23.8646
35.5807,23.8727
35.6209,23.9953
35.7126,24.0319
35.7485,24.0322
35.759,24.076
35.9483,24.2325
36.1143,24.2964
36.2718,24.3755
36.2831,24.464
36.2922,24.5076
36.4185,24.5263
36.4314,24.5461
36.4896,24.5543
36.4953,24.5789
36.5934,24.5869
36.6215,24.5954
36.6272,24.5996
36.6998,24.6244
36.8964,24.6924
36.9852,24.7102
37.0769,24.732
37.2555,24.78
37.2559,24.8035
37.2913,24.8124
37.2953,24.8314
37.369,24.8697
37.4352,24.8792
37.4698,24.9435
37.5734,25.058
37.6348,25.0789
37.6547,25.09
37.7053,25.1375
37.7416,25.146
37.8062,25.2087
37.8065,25.3337
37.9121,25.3719
37.9641,25.4078
37.9922,25.4238
38.0103,25.429
38.0798,25.462
38.0863,25.5439
